ModeL,lambda,SE,PE,linf,FPR,FNR,MSE,selected,sum_beta,p_value
Eric,1.669(0.07),9.018(1.491),9.353(0.554),1.717(0.129),0.094(0.005),0.736(0.01),29.559(0.489),10.25(0.37),-3.12812662604429e-07(2.44230493378203e-07),0.203253101126279
CoDA,0.677(0.087),9.497(0.606),14.256(0.716),1.501(0.06),0.206(0.01),0.564(0.015),33.646(0.665),20.16(0.81),-2.64430927644671e-07(1.51448625355545e-07),0.0839111743549598
CoCo,2.166(0.09),16.293(8.896),13.446(3.137),2.081(0.298),0.067(0.003),0.757(0.012),34.491(2.909),8.2(0.352),-2.95996782264292(0.368736936711815),2.09772214193939e-12
Vani,0.532(0.061),9.032(0.481),15.109(0.825),1.543(0.053),0.207(0.008),0.554(0.014),35.094(0.839),20.35(0.638),-2.19503598481526(0.139604469424015),1.14928604607103e-28

ModeL,lambda,SE,PE,linf,FPR,FNR,MSE,selected,sum_beta,p_value
Eric,1.484(0.049),7.111(1.117),7.813(0.415),1.485(0.112),0.095(0.004),0.753(0.009),28.428(0.434),10.36(0.368),-3.42000202560381e-07(1.76338114445965e-07),0.0552921110172466
CoDA,0.496(0.06),8.114(0.514),12.267(0.671),1.369(0.057),0.211(0.009),0.544(0.014),31.621(0.656),21.31(0.704),-5.13269237842669e-07(2.28540739926937e-07),0.0269361632849215
CoCo,2.015(0.082),6.289(0.744),8.261(0.487),1.588(0.11),0.067(0.004),0.786(0.008),29.074(0.487),8(0.314),-2.08381548785748(0.249390793002222),4.12825102042459e-13
Vani,0.503(0.049),6.751(0.36),11.96(0.673),1.295(0.047),0.196(0.007),0.575(0.013),31.704(0.681),19.81(0.582),-2.03125340904277(0.137123128169401),7.35099610532328e-27

Model,lambda,SE,PE,linf,FPR,FNR,MSE,selected,R2,MAE,sum_beta
Eric,1.757(0.098),10.964(1.494),8.56(0.399),1.906(0.145),0.096(0.005),0.711(0.013),31.701(0.474),10.39(0.392),-0.037(0.016),4.193(0.039),5.95522010743454e-08(1.1175765419827e-07),0.595318315743114
CoDA,0.69(0.111),9.798(0.58),13.089(0.755),1.524(0.061),0.223(0.01),0.521(0.018),35.012(0.793),21.41(0.834),-0.146(0.026),4.338(0.051),4.07964374928222e-08(7.28700708555447e-08),0.576845117693864
CoCo,2.298(0.088),8.955(2.153),10.106(1.101),1.722(0.176),0.059(0.004),0.783(0.011),33.414(1.093),6.92(0.343),-0.094(0.036),4.313(0.069),1.42213739776331(0.339391446435045),6.0608427482028e-05
Vani,0.704(0.098),8.658(0.487),11.632(0.55),1.47(0.055),0.21(0.008),0.564(0.016),33.613(0.58),19.95(0.701),-0.1(0.019),4.269(0.043),0.627174276110082(0.160214687486095),0.000166407267654384

Model,lambda,SE,PE,linf,FPR,FNR,MSE,selected,R2,MAE,sum_beta
Eric,1.513(0.052),7.1(0.839),5.916(0.271),1.579(0.111),0.105(0.004),0.728(0.01),27.385(0.316),10.38(0.311),-0.041(0.012),3.951(0.028),7.10369902944728e-08(1.76331984944251e-07),0.68792033140611
CoDA,0.599(0.083),7.751(0.491),10.214(0.686),1.352(0.054),0.232(0.01),0.545(0.016),30.27(0.7),21.23(0.769),-0.151(0.027),4.08(0.046),2.00608738562279e-07(2.37244999839456e-07),0.399828245601918
CoCo,1.98(0.07),27.57(22.275),18.47(12.091),1.86(0.465),0.068(0.004),0.763(0.01),40.01(12.056),7.45(0.312),-0.521(0.458),4.269(0.237),1.49500162655336(0.599358412664791),0.014275164678853
Vani,0.664(0.084),7.116(0.43),9.37(0.495),1.363(0.054),0.213(0.009),0.577(0.016),29.59(0.505),19.55(0.726),-0.125(0.019),4.037(0.041),0.190260418306987(0.149530670937252),0.206217117628743

Model,lambda,SE,PE,linf,FPR,FNR,MSE,selected,R2,MAE,sum_beta
Eric,1.749(0.099),12.753(2.177),8.265(0.428),1.997(0.171),0.093(0.005),0.707(0.013),31.358(0.481),10.27(0.38),-0.026(0.016),4.155(0.04),-4.54343912849564e-08(1.05271866804559e-07),0.66697713334933
CoDA,0.646(0.105),10.473(0.609),13.303(0.789),1.57(0.062),0.223(0.01),0.513(0.017),34.99(0.834),21.56(0.79),-0.145(0.027),4.34(0.052),4.48655853050684e-07(3.61367017814131e-07),0.217335524263963
CoCo,2.179(0.086),11.008(2.23),10.486(1.08),1.926(0.203),0.059(0.004),0.771(0.011),33.693(1.079),7.09(0.347),-0.103(0.035),4.324(0.069),1.39245975454377(0.366820563096222),0.000253522223724618
Vani,0.744(0.096),8.638(0.524),11.116(0.547),1.472(0.058),0.2(0.008),0.559(0.016),32.807(0.551),19.36(0.717),-0.074(0.018),4.22(0.042),0.572401801901743(0.153990135033939),0.000333946544190588

Model,lambda,SE,PE,linf,FPR,FNR,MSE,selected,R2,MAE,sum_beta
Eric,1.535(0.066),7.377(0.761),5.79(0.25),1.621(0.108),0.101(0.005),0.728(0.011),27.23(0.296),10.15(0.332),-0.035(0.011),3.943(0.027),9.18847142285885e-08(1.85078750491523e-07),0.62066848252918
CoDA,0.623(0.091),8.133(0.505),10.211(0.645),1.398(0.058),0.224(0.01),0.539(0.017),30.045(0.651),20.75(0.792),-0.142(0.025),4.054(0.043),2.67288822891461e-07(2.92316918433181e-07),0.362738737118336
CoCo,1.95(0.07),15.321(8.057),11.574(4.55),1.837(0.314),0.066(0.004),0.752(0.01),33.041(4.521),7.49(0.32),-0.256(0.172),4.185(0.14),1.23926732123595(0.451340518130461),0.00717160079900192
Vani,0.663(0.078),6.997(0.436),9.271(0.531),1.355(0.057),0.204(0.009),0.566(0.017),29.272(0.526),19.07(0.715),-0.113(0.02),4.023(0.041),0.239279913865599(0.147300261219667),0.107462412650901

Model,lambda,SE,PE,linf,FPR,FNR,MSE,selected,MAE,sum_beta
Model,lambda,SE,PE,linf,FPR,FNR,MSE,selected,MAE,MSEout,MAEout,sum_beta
Eric,0(0),0(0),0(0),0(0),0(0),0(0),22.468(0.911),10.39(0.392),3.538(0.076),33.1(0.672),4.343(0.048),5.95522010743454e-08(1.1175765419827e-07),0.595318315743114
CoDA,0(0),0(0),0(0),0(0),0(0),0(0),17.765(0.721),21.41(0.834),3.132(0.069),40.372(1.178),4.761(0.072),4.07964374928222e-08(7.28700708555447e-08),0.576845117693864
CoCo,0(0),0(0),0(0),0(0),0(0),0(0),26.74(1.264),6.92(0.343),3.884(0.095),33.442(1.215),4.35(0.073),1.42213739776331(0.339391446435045),6.0608427482028e-05
Vani,0(0),0(0),0(0),0(0),0(0),0(0),17.958(0.711),19.95(0.701),3.148(0.067),38.197(0.888),4.644(0.06),0.627174276110082(0.160214687486095),0.000166407267654384

Model,lambda,SE,PE,linf,FPR,FNR,MSE,selected,MAE,MSEout,MAEout,sum_beta
Eric,0(0),0(0),0(0),0(0),0(0),0(0),18.303(0.697),10.38(0.311),3.161(0.066),31.921(0.514),4.313(0.034),7.10369902944728e-08(1.76331984944251e-07),0.68792033140611
CoDA,0(0),0(0),0(0),0(0),0(0),0(0),14.528(0.648),21.23(0.769),2.794(0.065),38.015(1.062),4.693(0.066),2.00608738562279e-07(2.37244999839456e-07),0.399828245601918
CoCo,0(0),0(0),0(0),0(0),0(0),0(0),29.995(9.177),7.45(0.312),3.636(0.217),44.553(13.179),4.542(0.25),1.49500162655336(0.599358412664791),0.014275164678853
Vani,0(0),0(0),0(0),0(0),0(0),0(0),14.824(0.622),19.55(0.726),2.824(0.063),36.808(0.78),4.612(0.055),0.190260418306987(0.149530670937252),0.206217117628743

Model,MSE,MSEout,weightedMSE,MAE,MAEout,weightedMAE,selected,sum_beta,p_value
Eric,22.468(0.911),33.1(0.672),29.47(0),3.538(0.076),4.343(0.048),4.114(0),10.39(0.392),5.95522010743454e-08(1.1175765419827e-07),0.595318315743114
Model,MSE,MSEout,weightedMSE,MAE,MAEout,weightedMAE,selected,sum_beta,p_value
Eric,22.468(0.911),33.1(0.672),29.187(0.458),3.538(0.076),4.343(0.048),4.047(0.04),10.39(0.392),5.95522010743454e-08(1.1175765419827e-07),0.595318315743114
CoDA,17.765(0.721),40.372(1.178),32.053(0.756),3.132(0.069),4.761(0.072),4.162(0.051),21.41(0.834),4.07964374928222e-08(7.28700708555447e-08),0.576845117693864
CoCo,26.74(1.264),33.442(1.215),30.976(1.07),3.884(0.095),4.35(0.073),4.179(0.069),6.92(0.343),1.42213739776331(0.339391446435045),6.0608427482028e-05
Vani,17.958(0.711),38.197(0.888),30.749(0.559),3.148(0.067),4.644(0.06),4.093(0.044),19.95(0.701),0.627174276110082(0.160214687486095),0.000166407267654384

Model,MSE,MSEout,weightedMSE,MAE,MAEout,weightedMAE,selected,sum_beta,p_value
Eric,18.303(0.697),31.921(0.514),26.909(0.353),3.161(0.066),4.313(0.034),3.889(0.033),10.38(0.311),7.10369902944728e-08(1.76331984944251e-07),0.68792033140611
CoDA,14.528(0.648),38.015(1.062),29.372(0.685),2.794(0.065),4.693(0.066),3.994(0.048),21.23(0.769),2.00608738562279e-07(2.37244999839456e-07),0.399828245601918
CoCo,29.995(9.177),44.553(13.179),39.196(11.696),3.636(0.217),4.542(0.25),4.209(0.235),7.45(0.312),1.49500162655336(0.599358412664791),0.014275164678853
Vani,14.824(0.622),36.808(0.78),28.718(0.503),2.824(0.063),4.612(0.055),3.954(0.042),19.55(0.726),0.190260418306987(0.149530670937252),0.206217117628743

Model,MSE,MSEout,weightedMSE,MAE,MAEout,weightedMAE,selected,sum_beta,p_value
Eric,22.468(0.911),35.65(0),30.799(0),3.538(0.076),4.494(0),4.142(0),10.39(0.392),5.95522010743454e-08(1.1175765419827e-07),0.595318315743114
CoDA,17.765(0.721),42.143(0),33.172(0),3.132(0.069),4.874(0),4.233(0),21.41(0.834),4.07964374928222e-08(7.28700708555447e-08),0.576845117693864
CoCo,26.74(1.264),36.988(0),33.217(0),3.884(0.095),4.558(0),4.31(0),6.92(0.343),1.42213739776331(0.339391446435045),6.0608427482028e-05
Vani,17.958(0.711),40.925(0),32.473(0),3.148(0.067),4.81(0),4.199(0),19.95(0.701),0.627174276110082(0.160214687486095),0.000166407267654384
Model,MSE,MSEout,weightedMSE,MAE,MAEout,weightedMAE,selected,sum_beta,p_value
Eric,18.303(0.697),32.341(0),27.175(0),3.161(0.066),4.302(0),3.882(0),10.38(0.311),7.10369902944728e-08(1.76331984944251e-07),0.68792033140611
CoDA,14.528(0.648),37.745(0),29.202(0),2.794(0.065),4.658(0),3.972(0),21.23(0.769),2.00608738562279e-07(2.37244999839456e-07),0.399828245601918
CoCo,29.995(9.177),45.599(0),39.857(0),3.636(0.217),4.583(0),4.235(0),7.45(0.312),1.49500162655336(0.599358412664791),0.014275164678853

Model,lam,MSE,MSEout,MAE,MAEout,selected,sum_beta,p_value
Eric,2.379(0.1),24.88(1.03),35.965(0),3.673(0.081),4.456(0),7.68(0.365),3.35430491275384e-07(6.42816535463817e-07),0.602965555317085
CoDA,1.04(0.14),18.296(0.793),38.33(0),3.148(0.064),4.646(0),18.33(0.937),1.1915092106419e-06(9.8281162485626e-07),0.228264673678448
CoCo,2.878(0.106),27.75(1.098),38.041(0),3.795(0.081),4.482(0),5.75(0.329),-1.2302872140561(0.263640740723006),9.61789143702044e-06
Vani,1.015(0.121),18.436(0.768),39.729(0),3.099(0.064),4.638(0),17.11(0.791),-1.02776521198677(0.167673053424329),1.80373113436197e-08
Model,lam,MSE,MSEout,MAE,MAEout,selected,sum_beta,p_value
Eric,2.121(0.083),20.496(0.78),33.256(0),3.327(0.071),4.344(0),7.9(0.351),-1.14958463783021e-06(9.92486026483309e-07),0.249533103181939
CoDA,0.908(0.123),15.101(0.679),34.811(0),2.86(0.064),4.454(0),18.81(0.914),-1.47563044547919e-06(1.0641568306663e-06),0.168658142808849
CoCo,2.578(0.104),23.478(1.146),35.726(0),3.469(0.088),4.355(0),6.11(0.343),-1.488021417509(0.282204800367137),7.89635019023508e-07
Vani,0.912(0.105),14.981(0.623),35.163(0),2.779(0.059),4.395(0),17.05(0.783),-1.16454013600247(0.152649597375152),1.4838743718395e-11Model,lam,MSE,MAE,selected,sum_beta,p_value

Model,lam,MSE,MAE,selected,sum_beta,p_value
Eric,1.761(0.061),23.927(0.251),3.469(0.018),6.18(0.341),2.04784983615903e-06(5.94650376071746e-07),0.000842359548476151
CoDA,1.316(0.064),22.775(0.265),3.382(0.019),11.68(0.754),2.35636815301849e-06(6.99196071209764e-07),0.00107229604551657
CoCo,2.196(0.07),25.336(0.238),3.619(0.016),3.38(0.27),0.455164401939061(0.0734509910920959),1.3269172724944e-08
Vani,1.469(0.084),23.13(0.294),3.434(0.022),10.11(0.78),0.26169992929389(0.0449674360410154),7.2847178114427e-08
Model,lam,MSE,MAE,selected,sum_beta,p_value
Eric,1.826(0.059),23.197(0.219),3.457(0.015),5.69(0.36),2.97153874917989e-06(7.24317559800028e-07),8.39683097757782e-05
CoDA,1.398(0.071),22.023(0.265),3.368(0.019),10.58(0.765),2.99952488197293e-06(8.06542004205221e-07),0.000331797255907939
CoCo,2.112(0.059),24.166(0.197),3.555(0.014),3.27(0.302),0.251325764707252(0.0654466920384276),0.000216955141262337
Vani,1.575(0.082),22.522(0.279),3.42(0.02),8.65(0.787),0.120857307685716(0.0436395164920379),0.00670532837289043

X_normed; N_sim=10; E 0.05~20
Model,lam,MSE,MSEout,MAE,MAEout,selected,sum_beta,p_value
Eric,2.569(0.266),30.794(2.078),31.45(0),4.181(0.177),4.076(0),6.2(1.133),-4.60610861116768e-07(5.1298630482532e-07),0.392625109547467
CoDA,0.998(0.402),24.419(2.139),38.929(0),3.711(0.183),4.568(0),16.3(3.323),-5.91847219892291e-07(5.81432949184074e-07),0.33530171524287
CoCo,3.158(0.333),974.51(514.206),866.289(0),21.363(7.268),20.24(0),3.2(1.093),-3.40633446573004(1.54270412655337),0.0546206422838158
Vani,0.961(0.432),317.409(108.075),303.812(0),14.116(3.272),14.104(0),17.8(3.425),-2.22324202541044(0.839849864707134),0.0265984355058518
Model,lam,MSE,MSEout,MAE,MAEout,selected,sum_beta,p_value
Eric,2.341(0.276),27.548(2.936),30.502(0),3.887(0.258),4.147(0),6.4(1.24),-6.26110277779845e-08(1.2880367161682e-07),0.638515040971582
CoDA,1.025(0.396),21.425(2.049),34.346(0),3.452(0.177),4.36(0),16(3.63),-3.23022942531328e-08(7.35989630487938e-08),0.671084515095669
CoCo,2.784(0.406),1502.691(828.61),1348.031(0),25.232(9.527),23.656(0),4.4(1.31),-4.12642000355623(1.96655379755654),0.0652981589014531
Vani,0.944(0.395),296.082(127.784),268.333(0),13.241(3.356),12.753(0),16.2(3.372),-2.13313308097269(0.811381828636601),0.0274029782385835
X_normed; N_sim=10; E 0.1~10
Model,lam,MSE,MSEout,MAE,MAEout,selected,sum_beta,p_value
Eric,2.191(0.231),34.907(5.316),42.721(0),4.366(0.328),4.62(0),6.8(1.123),-8.67796170093797e-07(7.11671185700617e-07),0.25369255064591
CoDA,0.948(0.386),23.905(2.211),39.318(0),3.693(0.189),4.626(0),16.7(3.413),-5.85089368060126e-07(6.57459334567301e-07),0.396670652881304
CoCo,2.782(0.323),2226.25(1344.955),2475.075(0),30.268(11.82),31.57(0),4.2(1.245),-5.10831062892546(2.40714543647016),0.0628183273186142
Vani,0.941(0.424),326.577(109.941),319.893(0),14.057(3.471),14.451(0),17.1(3.331),-2.19221618678109(0.88278744432883),0.0348031348020546
Model,lam,MSE,MSEout,MAE,MAEout,selected,sum_beta,p_value
Eric,2.058(0.217),30.014(5.357),37.68(0),3.941(0.339),4.36(0),7.1(1.14),-2.55269241748539e-07(3.27944629457565e-07),0.456314243242244
CoDA,1.043(0.389),21.639(2.108),33.434(0),3.455(0.189),4.308(0),15.7(3.6),4.695776607078e-08(6.1789400620461e-08),0.46671565560405
CoCo,2.541(0.316),2025.976(1016.924),2149.501(0),30.345(10.832),31.087(0),4.9(1.472),-5.17266104183883(2.23089615351642),0.0455866575570765
Vani,0.911(0.394),326.601(126.632),311.255(0),14.192(3.426),13.98(0),16.4(3.462),-2.22922382411434(0.883806483675897),0.0326452966108661
N_sim = 10; no X norm; Sig_B = center(cov.Z)-cov.X
Model,lam,MSE,MSEout,MAE,MAEout,selected,sum_beta,p_value
Eric,3.021(0.143),26.228(1.913),36.492(0),3.865(0.14),4.521(0),7.3(1.469),2.50792042881601e-05(2.5708152532561e-05),0.354785085204695
CoDA,1.265(0.418),20.72(1.849),38.832(0),3.395(0.167),4.667(0),15.4(3.159),-5.23209022102442e-07(2.67026600070117e-06),0.849010587743591
CoCo,2.953(0.146),25.498(2.016),37.201(0),3.794(0.157),4.558(0),7.2(1.332),-0.098508158831161(0.0968596048796813),0.335703066120506
Vani,1.094(0.313),20.588(1.296),39.164(0),3.319(0.114),4.597(0),15(2.749),-1.23924378077935(0.541684091051606),0.0479499452963169
Model,lam,MSE,MSEout,MAE,MAEout,selected,sum_beta,p_value
Eric,2.716(0.153),24.04(3.003),38.977(0),3.669(0.243),4.541(0),7.7(1.136),4.66677016011285e-05(3.86151235378749e-05),0.257635239292269
CoDA,1.023(0.373),17.871(1.512),34.709(0),3.15(0.144),4.38(0),18.1(3.604),1.14995174454063e-06(1.89148668091516e-06),0.55824041399083
CoCo,3.011(0.211),23.516(2.572),34.574(0),3.567(0.195),4.344(0),6.2(1.281),-0.0698672658412286(0.1195597440284),0.573324988186453
Vani,0.959(0.352),18.518(1.318),36.428(0),3.132(0.138),4.486(0),17.3(3.07),-1.62115591123015(0.744054163632387),0.0572850380389346

N_sim = 10; no X norm; Sig_B = center(Z)-center(X)
Model,lam,MSE,MSEout,MAE,MAEout,selected,sum_beta,p_value
Eric,2.366(0.234),26.935(2.178),33.044(0),3.805(0.214),4.306(0),7.6(1.284),-2.68093206086284e-06(1.19479490308938e-06),0.0515188658457348
CoDA,1.265(0.418),20.72(1.849),38.832(0),3.395(0.167),4.667(0),15.4(3.159),-5.23209022102442e-07(2.67026600070117e-06),0.849010587743591
CoCo,3.156(0.405),32.733(3.416),37.181(0),4.12(0.263),4.516(0),4.8(0.929),-1.42925626521415(0.812959291819985),0.112600367568514
Vani,1.094(0.313),20.588(1.296),39.164(0),3.319(0.114),4.597(0),15(2.749),-1.23924378077935(0.541684091051606),0.0479499452963169
Model,lam,MSE,MSEout,MAE,MAEout,selected,sum_beta,p_value
Eric,2.19(0.191),24.084(2.24),32.639(0),3.556(0.224),4.291(0),7.6(1.343),-1.13222797140571e-06(2.02622282225312e-06),0.5899372201149
CoDA,1.023(0.373),17.871(1.512),34.709(0),3.15(0.144),4.38(0),18.1(3.604),1.14995174454063e-06(1.89148668091516e-06),0.55824041399083
CoCo,2.722(0.478),28.661(3.216),32.508(0),3.817(0.261),4.152(0),6(1.256),-1.80938882583571(0.765445052638877),0.042334230429792
Vani,0.959(0.352),18.518(1.318),36.428(0),3.132(0.138),4.486(0),17.3(3.07),-1.62115591123015(0.744054163632387),0.0572850380389346
N_sim = 10; same as before but U~0.25,4
Model,lam,MSE,MSEout,MAE,MAEout,selected,sum_beta,p_value
Eric,1.534(0.144),19.97(1.554),31.731(0),3.33(0.165),4.188(0),10.4(1.384),-2.50103833473406e-07(4.7372879047426e-07),0.610303612494951
CoDA,0.673(0.206),13.87(1.682),39.413(0),2.762(0.185),4.776(0),17.9(2.415),-8.24338474481479e-07(6.29461809320783e-07),0.222775809580036
CoCo,1.818(0.211),24.041(2.719),37.992(0),3.59(0.248),4.513(0),9.1(1.464),-1.6030011216082(0.826010553714243),0.0842208204388031
Vani,0.849(0.266),15.624(1.883),37.973(0),2.87(0.185),4.547(0),15.4(2.237),-1.32620869587999(0.598676260121863),0.0539821721860391
Model,lam,MSE,MSEout,MAE,MAEout,selected,sum_beta,p_value
Eric,1.512(0.159),17.719(1.454),29.025(0),3.071(0.16),4.053(0),9.7(1.202),2.48618707089426e-07(5.7508373810573e-07),0.675684222849296
CoDA,0.76(0.242),12.568(1.275),33.888(0),2.616(0.115),4.387(0),17.1(2.369),1.03883450518255e-06(9.47371155091431e-07),0.301312709298588
CoCo,1.618(0.132),19.176(1.878),31.786(0),3.151(0.21),4.061(0),8.9(0.912),-2.29927446082741(0.56241093316933),0.00272417472843763
Vani,0.806(0.328),13.067(1.617),36.025(0),2.652(0.152),4.474(0),17.4(2.655),-1.66838035074229(0.421219155354217),0.00330009071233054

Model,lam,MSE,MAE,selected,sum_beta,p_value
Eric,1.748(0.058),23.917(0.245),3.468(0.018),6.21(0.335),2.59951558294869e-06(7.16509258665977e-07),0.000453802084305745
