Model,lam,MSEout,MAEout,selected,sum_beta,p_value
Eric,2.168(0.106),35.818(0),4.449(0),8.5(0.405),4.17006571305363e-07(8.08513839481648e-07),0.607165540393576
CoDA,1.079(0.147),38.801(0),4.674(0),17.86(0.92),9.07715618055697e-07(8.6218348860215e-07),0.294990836608873
CoCo,2.463(0.105),38.782(0),4.552(0),6.92(0.369),-1.21150993280759(0.253053107513086),5.91685964416142e-06
Vani,1.012(0.123),40.123(0),4.67(0),16.79(0.767),-1.02934611246193(0.166246787429861),1.35866156566264e-08s
Model,lam,MSEout,MAEout,selected,sum_beta,p_value
Eric,1.897(0.09),32.838(0),4.316(0),8.61(0.369),-6.45434207632992e-07(1.05684664771592e-06),0.542786524424261
CoDA,0.868(0.118),34.928(0),4.468(0),18.67(0.891),-8.83734099180164e-07(1.00464321408478e-06),0.381179353870985
CoCo,2.191(0.094),35.58(0),4.379(0),7.01(0.357),-1.50542440158623(0.254859221105044),4.93498005025953e-08
Vani,0.863(0.104),35.988(0),4.45(0),16.94(0.723),-1.20247917598792(0.152288164908359),4.00453336832474e-12
